Category,Document Name,Parties,Agreement Date,Effective Date,Renewal Term,Notice To Terminate Renewal,Expiration Date,Governing Law,Exclusivity,Post-Termination Services,Exact_Law,Discrepancy,detailed_law
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement.pdf,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,"['EuroMedia Holdings Corp.', 'Rogers', 'Rogers Cable Communications Inc.', 'Licensor']","['July 11 , 2006']",07-11-2006,"['At Rogers\' option, this Agreement shall renew for a subsequent term of two (2) years on the terms and conditions herein (the ""Renewal Term"").']","[""Notwithstanding the foregoing, if, at the expiry of this Agreement following the Initial Term or the Renewal Term (if any), as applicable, Licensor and Rogers have not executed a new agreement governing the VOD distribution and exhibition of Licensed Programs and Rogers (or its permitted assigns) continues to distribute and exhibit Licensed Programs on the ROD Service following such expiry, such continued distribution and exhibition shall be governed by the terms of this Agreement in effect at the time of expiry, except that each of Licensor and Rogers shall have the right, on sixty (60) days' prior written notice, to terminate this Agreement, as so extended.""]",6/30/10,"Ontario, Canada",[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.527130126953125}]"
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement.pdf,WEBSITE CONTENT LICENSE AGREEMENT,"['PSiTech Corporation', 'Licensor', 'Licensee', 'Empirical Ventures, Inc.']","['Feb 10, 2014']",02-10-2014,"['Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].']","['Thereafter, this Agreement shall renew automatically for one (1) additional three (3) year period (the ""Renewal Term"" and collectively, together with the Initial Term, the ""Term"") unless either party provides the other with written notice of non-renewal at least ninety (90) days before the expiration of the Initial Term].']",02-10-2019,Nevada,"[""Subject to Licensee's on\xadgoing compliance with Section 3.2 and all other terms and conditions of this Agreement, Licensor grants to Licensee an exclusive (save for rights reserved to Licensor hereunder), non-transferable (except as provided in Section 11.7) and non- sublicensable license, during the License Term, to reproduce, perform, display, transmit and distribute the Licensed Content on the Licensee Siteand Related Media intended solely for use by End Usersin the Territory within the scope set forth in Schedule 1 (License Scope), which is attached hereto and incorporated herein by this reference.""]",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5476325750350952}]"
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement.pdf,CONTENT LICENSE AGREEMENT,"['YOU ON DEMAND HOLDINGS, INC.', 'Licensor', 'Licensee', 'Beijing Sun Seven Stars Culture Development Limited']","['December 21, 2015']",12/21/15,[],[],12/21/35,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5450774431228638}]"
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,CO-BRANDING AND SERVICES AGREEMENT,"['PrimeCall', 'deltathree.com, Inc. (formerly known as Delta Three, Inc.)', 'RSL COM PrimeCall, Inc.', 'DeltaThree']","['October 1, 1999']",10-01-1999,[],[],10-01-2002,New York,[],[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5164247751235962}]"
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['Women.com', 'eDiets', 'WOMEN.COM NETWORKS, INC.', 'EDIETS.COM, INC.']","['May 22, 2000']",5/22/00,"['This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.']","['This agreement shall automatically renew for additional successive terms of twelve (12) months each at the end of the Initial Term (""Renewal Terms""), unless either party notifies the other in writing at least sixty (60) days prior to the end of the Initial Term.']",5/22/02,California,"['During the Term, eDiets will not buy, sell, display or distribute advertising from (including, but not limited to, banner ads, buttons, badges, text links, hyperlinks or editorial mentions) or otherwise promote any Women.com Compettive Company on any page of the eDiets Site that is within two clicks from the Gateway Page of the Diet Center.', 'For purposes of this Agreement, ""Competitive Company"" means any company that eDiets reasonably presents as, and Women.com reasonably agrees is, a direct competitor to eDiets by distributing on-line content principally relating to diets and diet counseling, including, but not limited to, Weight Watchers, Jenny Craig, NutriSystem, Nutrio, Asimba, DietSmart and uMagic.', 'For purposes of this Agreement, ""Women.com Competitive Company"" means any company that Women.com reasonably presents as, and eDiets reasonably agrees is, a direct competitor to Women.com by providing an on-line portal for women, including, but not limited to, Oxygen Media and iVillage,', 'Notwithstanding the foregoing, Women.com shall be entitled to (aa) provide mini and micro web sites and Women.com promotions and sponsorships to Jenny Craig; (bb) sell, display, or distribute advertisements, including banner advertisements, newsletter placements, internet radio, commerce placements and market research, or otherwise promote Competitive Companies on pages other than the Gateway Page of the Diet Center.', 'During the Term,<omitted>(b) eDiets will be the exclusive third party provider of content and interactive tools for diets and diet counseling to Women.com within the Diet Center;']",[],Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5417851805686951}]"
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT,"['Endorser', 'collectively, Lender, Endorser, and Fitness are referred to as the ""AS Parties""', 'MusclePharm Corporation', 'Lender', 'Marine MP, LLC', 'Arnold Schwarzenegger', 'Fitness', 'collectively, ""MusclePharm"" or the ""Company""', 'Fitness Publications, Inc.']","['July 26, 2013']",7/26/13,"['If this Agreement is renewed for the Second Additional Term, then the Second Additional Term shall commence on July 23, 2019 and the Agreement shall expire and terminate automatically without further notice on July 22, 2022.', 'In the event that MusclePharm shall achieve Net Sales (as defined below) of $20 million (the ""First Renewal Threshold"") in the aggregate during the Third Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""First Additional Term"") on the same terms and conditions for the Initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the First Additional Term shall be as set forth in Section 7 and Exhibit ""C"" Section (2) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the First Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 million during each Contract Year of the First Additional Term (subject to Section 12(b) of this Agreement).', 'If this Agreement is renewed for the First Additional Term, then the First Additional Term shall commence on July 23, 2016, and the Agreement shall expire and terminate automatically without further notice on July 22, 2019.', 'In the event that MusclePharm shall achieve Net Sales of $50 million (the ""Second Renewal Threshold"") in the aggregate during the sixth Contract Year, then this Agreement shall automatically be renewed for an additional term of three (3) years (the ""Second Additional Term"") on the same terms and conditions for the initial Term except that: (i) no additional Stock Compensation (as defined below) shall be issued in connection with the renewal Term, (ii) the Cash Compensation for the renewal Term shall be as set forth in Section 7 and Exhibit ""C"" Section (3) attached hereto, (iii) Endorser shall only be obligated to make two (2) Appearances in each Contract Year during the Second Additional Term pursuant to Section 4(a)(ii) below and (iv) the marketing budget to promote the Licensed Products shall be $5.0 in each Contract Year of the Second Additional Term (subject to Section 12(b) of this Agreement).']",[],7/22/16,California,"[""During the term of this Agreement, or any extensions of this Agreement, Endorser and the Lender hereby agree and warrant that it will not enter into any other endorsement agreement for the use of Endorser's name, image and/or likeness for advertising, marketing and/or endorsement of any other dietary supplements during the Term of this Agreemen""]","['Notwithstanding the foregoing, in the event the expiration of this Agreement or termination of this Agreement by Musclepharm pursuant to paragraph 9(a), MusclePharm shall be entitled to sell-off the remaining Licensed Products for six (6) months after such expiration of this Agreement pursuant to paragraph 4(d) herein and shall continue to pay Endorser the Royalty set forth in paragraph 7 herein.', ""MusclePharm's obligations for the payment of a Royalty and the Guaranteed Minimum Royalty (as defined below) shall survive expiration or termination of this Agreement and will continue for so long as MusclePharm continues to manufacture, sell or otherwise market the Licensed Products."", 'During the Term, the right to use Endorser\'s Name and Appearance Rights granted to MusclePharm in this Section shall extend for six (6) months beyond the expiration of this Agreement (the ""Use-up Period"").', 'During the Term of this Agreement and during any sell-off period, MusclePharm shall pay Lender a royalty (the ""Royalty"") of 10% on Net Sales (as defined below) of Licensed Products sold through its wholesale Distribution Channels or retail Distribution Channels, as the case may be and 10% on Net Sales of the Training Video and any Products sold in connection with any Training Video as contemplated pursuant to the last sentence of Section 4(a)(i) above.', ""MusclePharm shall create no new advertising during the Use-up Period using Endorser's Name and Appearance, but shall have the right to use during the Use-up Period Endorser's Name and Appearance in advertisements and promotional materials created before the expiration date of this Agreement."", 'MusclePharm agrees to preserve and keep accessible and available to the AS Parties all relevant books and records for a period of at least three (3) years following the expiration or termination of the Agreement.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5439424514770508}]"
TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,CO-BRANDING AGREEMENT,"['Skype, Online BVI and the Company may be referred to individually as ""Party"" and collectively as ""Parties."" Skype, Online BVI, the Company, Skype Holding and Tom Holding may be referred to individually as ""party to this Agreement"" and collectively as ""parties to this Agreement.""', 'Skype', 'Tel-Online Limited', 'Online BVI', 'Skype Technologies, S.A.', 'TOM Online (BVI) Limited', 'Skype Communications, S.A.', 'Tom Holding', 'Company', 'TOM Online Inc.', 'Skype Holding']",['22nd day of August 2005'],8/22/05,"['This Agreement shall automatically continue following the Initial Term, for an additional period of three (3) years, unless a party to this Agreement provides written notice of termination to the other parties at least sixty (60) days prior to the expiration of the Initial Term or this Agreement (""Extended Term"" and, with the Initial Term, ""Term"").']","['This Agreement shall automatically continue following the Initial Term, for an additional period of three (3) years, unless a party to this Agreement provides written notice of termination to the other parties at least sixty (60) days prior to the expiration of the Initial Term or this Agreement (""Extended Term"" and, with the Initial Term, ""Term"").']",8/22/10,"England, United Kingdom; Wales, United Kingdom",[],"['The Parties (including Online BVI on behalf of the Online Group) agree to maintain records (i) of all information reasonably necessary to verify all calculations to be made under Section 8.3.2, and (ii) supporting, verifying and necessary to demonstrate the calculation and collection of fees and/or revenue, as well as any deductions thereto, and payments made hereunder, including, without limitation, budgets, purchase orders, expense records, invoices, correspondence, banking and financial and other records pertaining to the determination of Gross Revenue, Direct Expenses and Adjusted Net Revenue, during the term of this Agreement and for a period of two (2) years following the expiration or termination hereof.', 'Each Party shall (i) immediately stop displaying, featuring, linking or in any other manner using the Company-Skype Branded Application (provided in the case of Skype, other than the Skype Software in the Company-Skype Branded Application), Company-Skype Toolbar, Company-Skype Branded Web Site, Company-Skype Branded Content, any co-branded materials or any other Intellectual Property of the other Parties (including, without limitation, Intellectual Property deemed to be owned by the other Parties under Section 4.2.3.2); (ii) return such materials directly to the other Parties, or delete and overwrite any electronically stored copies of such materials within thirty (30) days from the date of termination of this Agreement; (iii) within such thirty (30) day period, deliver to the other Parties a certificate duly executed by its authorised officer certifying its compliance with the foregoing, and (iv) provide the other Parties with such information and access to data and databases as may be necessary to permit such other Parties to fulfil any contractual obligations by them to users of the Company-Skype Branded Application undertaken by such other Parties prior to the time of termination.', 'The Parties agree that notwithstanding any termination or expiration of this Agreement, the rights and licenses granted to any Company- Skype Branded Customers prior to termination or expiration of this Agreement pursuant to any EULA shall continue during the 24 months after such termination or expiration for the sole purpose of permitting such users to continue to access and utilize the Company-Skype Branded Application and the Company-Skype Toolbar, and so long as any Gross Revenue is received with respect to the Company-Skype Branded Application and/or the Company-Skype Toolbar, the provisions of Section 5 shall continue to be applicable after any termination or expiration.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5417851805686951}]"
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,"['Aucta Pharmaceuticals, Inc.', 'Eton Pharmaceuticals, Inc.', 'Aucta', 'ETON']","['June 12, 2019']",09-02-2019,[],[],Perpetual,Delaware,"['Aucta, for itself and its Affiliates, hereby grants to ETON in accordance with the terms and conditions of this Agreement, an exclusive (even as to and against Aucta in the Territory) right and license, including the right to sublicense, to the Products (or any components thereof), Dossiers, and all current and future Aucta Background Intellectual Property that is owned or controlled by Aucta or its Affiliates for ETON to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell (collectively, ""Market"") the Products in and for the Territory.']","['In addition, within twenty-five (25) months after the termination or expiration of the Term and on a Product-by-Product basis, ETON shall perform a final ""true-up"" reconciliation and shall provide Aucta with a written report of such outlining the deductions specified in the definition of Net Sales.', ""After termination is effective and Aucta assumes control of the Product, ETON will provide, to the extent practicable, transition services to Aucta to include assistance with Product distribution, processing of rebates, drug safety, etc. at Aucta's cost for such services, for a reasonable period of time as mutually determined by the Parties but not to exceed one hundred eighty (180) days following termination so that Aucta can get its own such services in place."", ""If this Agreement is terminated by Aucta under Section 11.2 or 11.3, then (a) ETON shall have the right to, and Aucta shall hereby grant ETON a license to, Market or otherwise dispose of any existing inventory of any Products then in ETON's possession subject to paying all Royalties and other amounts due hereunder for such sales, (b) Aucta may keep all the payments under Section 6 paid by ETON up to the point of termination and for ETON's disposal of remaining inventory and Aucta is free to commercialize or relicense the Product with no further obligations owed to ETON, (c) ETON shall refrain from holding itself out as Aucta's distributor, in particular, eliminate any reference to the Product and Aucta from its business, trade style and promotional material, and (d) ETON shall transfer all rights, licenses within thirty (30) days of termination.""]",Commercial Code,Potential mismatch found,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5414315462112427}]"
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement.pdf,JOINT DEVELOPMENT AGREEMENT,"['FuelCell Energy, Inc.', 'FCE', 'ExxonMobil', 'ExxonMobil Research and Engineering Company']","['November 5, 2019']",10/31/19,[],[],10/31/21,New York,[],"['Such books, records and accounts will be maintained for a period of at least three (3) years following the termination or expiration of this Agreement, provided there are no pending disputes between the Parties.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_0', 'score': 0.5333595871925354}]"
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,DISTRIBUTOR AGREEMENT,"['XXXXXXXXXXXXXXXXXXXXX', 'Distributor', 'Company', 'B & C General Warehouse Corporation LLC']",['1 August 2019'],08-01-2019,['Distributor shall have the option to renew this Agreement for an additional Three (3) year period by providing prior written notice to Company within Ninety (90) days of the end of the initial period of this Agreement.'],[],08-01-2022,Florida,"['Subject to the terms and conditions of this Distributor Agreement, Company hereby appoints and grants Distributor the exclusive right to sell and distribute the Products to customers that Distributor introduce and confirmed by Company, (in all territory of United State of America (USA) and to render other services as a distributor for Company as set forth herein.', ""Company shall not sell or otherwise supply, directly or indirectly, the Products to any Distributor's Customer's, except by sale through the Distributor.""]","['In the event that this Agreement is terminated or expires on its own terms, Company shall have no further responsibilities to Distributor except that in the event the Agreement terminates for any reason other than a breach hereof by Distributor, Company shall be obligated to process orders accepted by Company prior to the effective date of such termination or expiration or within Ninety (90) days thereafter.']",Contract Act,,"Generated clause based on: [{'label': 'LABEL_1', 'score': 0.5078006982803345}]"
